lalalala,123456,123456,11111111@qq.com
hehehehe,123456,123456,22222222@qq.com
wuwuwuwu,123456,123456,33333333@qq.com
dadadada,123456,123456,44444444@qq.com
lulululu,123456,123456,55555555@qq.com
lululu,123456,123456,555555@qq.com
liuliuli,123456,123456,66666666@qq.com
liuliu,123456,123456,666666@qq.com
qiqiqiqi,123456,123456,77777777@qq.com
qiqiqi,123456,123456,777777@qq.com
bababa,123456,123456,888888@qq.com
babababa,123456,123456,88888888@qq.com
jiujiuji,123456,123456,99999999@qq.com
jiujiu,123456,123456,999999@qq.com
shishi,123456,123456,101010@qq.com
shishish,123456,123456,10101010@qq.com
yiyiyiyi,123456,123456,98765432@qq.com
yiyiyi,123456,123456,987654@qq.com
shiershier,123456,123456,87654321@qq.com
shisan,123456,123456,7654321@qq.com
